function,criterion,Adam,AdamW,abs_diff_Adam_AdamW,RMSProp,Lion,abs_diff_RMSProp_Lion
Himmelblau,A,0.21645021645021645,0.21321961620469082,0.0032306002455256277,1.0,0.029529012254540084,0.9704709877454599
Himmelblau,B,0.14255167498218105,0.13995801259622115,0.0025936623859598995,1.0,0.01794526693584567,0.9820547330641544
Himmelblau,C,1.0,1.0,0.0,1.0,0.4926108374384237,0.5073891625615763
Himmelblau,D,0.14255167498218105,0.13995801259622115,0.0025936623859598995,0.4514672686230249,0.01794526693584567,0.4335220016871792
Ackley,A,0.0,0.0007407407407407407,0.0007407407407407407,1.0,0.0,1.0
Ackley,B,0.3424657534246575,0.338409475465313,0.00405627795934449,0.2857142857142857,0.15479876160990713,0.13091552410437857
Ackley,C,1.0,1.0,0.0,1.0,0.2656042496679947,0.7343957503320053
Ackley,D,0.3327787021630616,0.32948929159802304,0.003289410565038564,0.2857142857142857,0.15479876160990713,0.13091552410437857
Rastrigin,A,0.0,0.0,0.0,1.0,0.0,1.0
Rastrigin,B,0.6968641114982578,0.7017543859649122,0.004890274466654465,0.42194092827004215,0.2506265664160401,0.17131436185400206
Rastrigin,C,1.0,1.0,0.0,1.0,0.9756097560975611,0.024390243902438935
Rastrigin,D,0.6968641114982578,0.7017543859649122,0.004890274466654465,0.42194092827004215,0.2506265664160401,0.17131436185400206
Styblinski,A,0.20768431983385252,0.20682523267838676,0.0008590871554657598,1.0,0.025673940949935813,0.9743260590500642
Styblinski,B,0.25157232704402516,0.24906600249066005,0.002506324553365108,1.0,0.03147623544224111,0.9685237645577589
Styblinski,C,1.0,1.0,0.0,1.0,0.24937655860349128,0.7506234413965087
Styblinski,D,0.25157232704402516,0.24906600249066005,0.002506324553365108,0.5,0.03147623544224111,0.4685237645577589
Levy,A,0.103009900990099,0.10383233532934132,0.0008224343392423117,1.0,0.01307035175879397,0.986929648241206
Levy,B,0.7462686567164178,0.7633587786259541,0.017090121909536293,0.7462686567164178,0.12012012012012013,0.6261485365962978
Levy,C,0.0,0.0,0.0,1.0,0.0,1.0
Levy,D,0.255,0.255,0.0,0.255,0.04327787021630616,0.21172212978369384
