function,n,optimizer,best_A,best_B,best_C,best_D
Rastrigin,2,GD_fixed,0.9852216748768474,0.24752475247524752,1.0,0.23094688221709006
Rastrigin,2,Adam,0.01125,0.7117437722419929,1.0,0.7117437722419929
Rastrigin,2,RMSProp,1.0,0.4273504273504274,1.0,0.4273504273504274
Rastrigin,2,AdaGrad,0.0,0.7117437722419929,1.0,0.7117437722419929
Rastrigin,2,AdamW,0.00847457627118644,0.7194244604316548,1.0,0.7194244604316548
Rastrigin,2,SGD_Nesterov,0.9950248756218907,0.3105590062111801,1.0,0.3105590062111801
Rastrigin,2,Lion,0.0,0.24906600249066005,1.0,0.24906600249066005
Rastrigin,5,GD_fixed,1.0,0.10515247108307045,0.9950248756218907,0.10515247108307045
Rastrigin,5,Adam,0.006923076923076923,0.5390835579514824,0.9433962264150942,0.5390835579514824
Rastrigin,5,RMSProp,1.0,0.3460207612456747,1.0,0.3460207612456747
Rastrigin,5,AdaGrad,0.0,0.5390835579514824,0.9478672985781991,0.5390835579514824
Rastrigin,5,AdamW,0.0025,0.5376344086021505,0.9302325581395349,0.5376344086021505
Rastrigin,5,SGD_Nesterov,1.0,0.2053388090349076,0.9950248756218907,0.2053388090349076
Rastrigin,5,Lion,0.0,0.20283975659229211,0.5115089514066496,0.20283975659229211
Rastrigin,10,GD_fixed,1.0,0.09090909090909091,1.0,0.09090909090909091
Rastrigin,10,Adam,0.10223642172523963,0.5063291139240506,0.9433962264150942,0.5063291139240506
Rastrigin,10,RMSProp,1.0,0.33500837520938026,1.0,0.33500837520938026
Rastrigin,10,AdaGrad,0.0791139240506329,0.5063291139240506,0.9345794392523364,0.5063291139240506
Rastrigin,10,AdamW,0.12454054054054053,0.5063291139240506,0.9216589861751152,0.5063291139240506
Rastrigin,10,SGD_Nesterov,1.0,0.17873100983020554,1.0,0.17873100983020554
Rastrigin,10,Lion,0.0,0.19607843137254904,0.47619047619047616,0.19607843137254904
Rastrigin,25,GD_fixed,1.0,0.07572889057175312,1.0,0.07572889057175312
Rastrigin,25,Adam,1.0,0.5,1.0,0.5
Rastrigin,25,RMSProp,1.0,0.3333333333333333,1.0,0.3333333333333333
Rastrigin,25,AdaGrad,1.0,0.5,1.0,0.5
Rastrigin,25,AdamW,1.0,0.5,1.0,0.5
Rastrigin,25,SGD_Nesterov,1.0,0.15071590052750566,1.0,0.15071590052750566
Rastrigin,25,Lion,0.11117287381878822,0.1798561151079137,0.9661835748792271,0.1798561151079137
Rastrigin,50,GD_fixed,1.0,0.06559527714004593,1.0,0.06559527714004593
Rastrigin,50,Adam,1.0,0.5,1.0,0.5
Rastrigin,50,RMSProp,1.0,0.3333333333333333,1.0,0.3333333333333333
Rastrigin,50,AdaGrad,1.0,0.5,1.0,0.5
Rastrigin,50,AdamW,1.0,0.5,1.0,0.5
Rastrigin,50,SGD_Nesterov,1.0,0.13131976362442546,1.0,0.13131976362442546
Rastrigin,50,Lion,0.16992353440951571,0.17271157167530224,1.0,0.17271157167530224
