function,n,optimizer,best_A,best_B,best_C,best_D
Styblinski,2,GD_fixed,0.5361930294906166,0.44052863436123346,0.7722007722007722,0.22246941045606228
Styblinski,2,Adam,0.20746887966804978,0.2518891687657431,1.0,0.2518891687657431
Styblinski,2,RMSProp,1.0,1.0,1.0,0.5
Styblinski,2,AdaGrad,0.2,0.2695417789757412,1.0,0.2695417789757412
Styblinski,2,AdamW,0.2066115702479339,0.24968789013732834,1.0,0.24968789013732834
Styblinski,2,SGD_Nesterov,0.7017543859649122,0.5333333333333333,0.851063829787234,0.24360535931790497
Styblinski,2,Lion,0.025634452704434763,0.031575623618566466,0.2469135802469136,0.031575623618566466
Styblinski,5,GD_fixed,0.7246376811594204,0.3738317757009346,0.790513833992095,0.11841326228537596
Styblinski,5,Adam,0.333889816360601,0.234192037470726,1.0,0.234192037470726
Styblinski,5,RMSProp,1.0,1.0,1.0,0.5
Styblinski,5,AdaGrad,0.33444816053511706,0.2503128911138924,1.0,0.2503128911138924
Styblinski,5,AdamW,0.3333333333333333,0.23148148148148145,1.0,0.23148148148148145
Styblinski,5,SGD_Nesterov,0.9661835748792271,0.44052863436123346,0.8583690987124464,0.14654205607476636
Styblinski,5,Lion,0.0453617600362894,0.02886002886002886,0.24968789013732834,0.02886002886002886
Styblinski,10,GD_fixed,0.9433962264150942,0.3194888178913738,0.7936507936507936,0.10621348911311737
Styblinski,10,Adam,0.5,0.22296544035674468,1.0,0.22296544035674468
Styblinski,10,RMSProp,1.0,1.0,1.0,0.5
Styblinski,10,AdaGrad,0.5,0.25,1.0,0.25
Styblinski,10,AdamW,0.5,0.22075055187637968,1.0,0.22075055187637968
Styblinski,10,SGD_Nesterov,0.9950248756218907,0.39603960396039606,0.8968609865470852,0.07228044813877846
Styblinski,10,Lion,0.07135212272565108,0.028074115665356544,0.24539877300613497,0.028074115665356544
Styblinski,25,GD_fixed,1.0,0.2691790040376851,0.790513833992095,0.095831336847149
Styblinski,25,Adam,1.0,0.21321961620469082,1.0,0.21321961620469082
Styblinski,25,RMSProp,1.0,1.0,1.0,0.5
Styblinski,25,AdaGrad,1.0,0.25,1.0,0.25
Styblinski,25,AdamW,1.0,0.2103049421661409,1.0,0.2103049421661409
Styblinski,25,SGD_Nesterov,1.0,0.36900369003690037,0.8695652173913044,0.06578947368421052
Styblinski,25,Lion,0.09165902841429881,0.027901785714285712,0.25157232704402516,0.027901785714285712
Styblinski,50,GD_fixed,1.0,0.2574002574002574,0.7968127490039841,0.08912655971479501
Styblinski,50,Adam,1.0,0.20554984583761562,1.0,0.20554984583761562
Styblinski,50,RMSProp,1.0,1.0,1.0,0.5
Styblinski,50,AdaGrad,1.0,0.25,1.0,0.25
Styblinski,50,AdamW,1.0,0.2032520325203252,1.0,0.2032520325203252
Styblinski,50,SGD_Nesterov,1.0,0.35149384885764495,0.8968609865470852,0.06153846153846154
Styblinski,50,Lion,0.13755158184319122,0.02782415136338342,0.258732212160414,0.02782415136338342
