function,criterion,Lion_best_scaled_lr,Lion_best_unscaled_lr,diff
Himmelblau,A,0.029529012254540084,0.2503128911138924,0.2207838788593523
Himmelblau,B,0.01794526693584567,0.13850415512465375,0.12055888818880808
Himmelblau,C,0.4926108374384237,1.0,0.5073891625615763
Himmelblau,D,0.01794526693584567,0.13850415512465375,0.12055888818880808
Ackley,A,0.0,0.017393266879819447,0.017393266879819447
Ackley,B,0.15479876160990713,0.42039278131634816,0.26559401970644103
Ackley,C,0.2656042496679947,1.0,0.7343957503320053
Ackley,D,0.15479876160990713,0.3580508474576271,0.20325208584771998
Rastrigin,A,0.0,0.0,0.0
Rastrigin,B,0.2506265664160401,0.6968641114982578,0.4462375450822177
Rastrigin,C,0.9756097560975611,1.0,0.024390243902438935
Rastrigin,D,0.2506265664160401,0.6968641114982578,0.4462375450822177
Styblinski,A,0.025673940949935813,0.25,0.2243260590500642
Styblinski,B,0.03147623544224111,0.28449502133712656,0.25301878589488547
Styblinski,C,0.24937655860349128,1.0,0.7506234413965087
Styblinski,D,0.03147623544224111,0.28449502133712656,0.25301878589488547
Levy,A,0.01307035175879397,0.11719458668617411,0.10412423492738014
Levy,B,0.12012012012012013,0.7462686567164178,0.6261485365962978
Levy,C,0.0,0.016482558139534885,0.016482558139534885
Levy,D,0.04327787021630616,0.1715256959314775,0.12824782571517135
