function,optimizer,lr_grid,lr_actual,SEE_A,SEE_B,SEE_C,SEE_D,CI_A,CI_B,CI_C,CI_D
Himmelblau,GD_fixed,0.2,0.2,0.4854368932038835,0.4347826086956522,0.8771929824561404,0.10256410256410257,0.01534819164375606,0.017039322970900633,0.042048929663608514,0.030403461589289693
Himmelblau,Adam,0.2,0.2,0.1023541453428864,0.06521030322791001,1.0,0.06521030322791001,0.0008381658835054234,0.0029176261192972903,0.0,0.0027813095573121227
Himmelblau,RMSProp,0.2,0.2,1.0,0.4514672686230249,1.0,0.4514672686230249,0.0,0.015851426117014206,0.0,0.015235309352956389
Himmelblau,AdaGrad,0.2,0.2,0.06188118811881188,0.04962779156327544,1.0,0.04962779156327544,0.0003063500232826019,0.00021545589482403066,0.0,0.00021545589482403066
Himmelblau,AdamW,0.2,0.2,0.1015744032503809,0.06339144215530904,1.0,0.06339144215530904,0.00077384686499158,0.0029623922040295167,0.0,0.002918800037144967
Himmelblau,SGD_Nesterov,0.2,0.2,0.5813953488372093,0.49751243781094534,0.9259259259259258,0.16532608695652173,0.024621758842607533,0.02107677525338622,0.03204032809295976,0.04988892270237369
Himmelblau,Lion,0.2,0.020000000000000004,0.011896972220569863,0.0072033135242211424,0.2386634844868735,0.0072033135242211424,0.00012565135894740918,0.00025848142871668766,0.017469569739130414,0.0002564857858874457
Ackley,GD_fixed,0.2,0.2,0.07538635506973237,0.12755102040816327,0.5952380952380952,0.11325028312570781,0.007765065858827101,0.0173480767568192,0.044269726590168534,0.0148195129607201
Ackley,Adam,0.2,0.2,0.0,0.3424657534246575,0.7462686567164178,0.3327787021630616,0.0,0.030033213200480552,0.03628497662410163,0.02683843263553412
Ackley,RMSProp,0.2,0.2,1.0,0.0948316737790422,1.0,0.04718898951382269,0.0,0.009410168821572869,0.0,0.005383122032406498
Ackley,AdaGrad,0.2,0.2,0.0,0.4366812227074236,0.7462686567164178,0.425531914893617,0.0,0.025946569286949828,0.03605336749061305,0.023612321999418734
Ackley,AdamW,0.2,0.2,0.0,0.338409475465313,0.7434944237918216,0.32948929159802304,0.0,0.028836643299373382,0.0360150709219858,0.026691889867444002
Ackley,SGD_Nesterov,0.2,0.2,0.24449877750611249,0.12062726176115804,0.7117437722419929,0.03072502030869212,0.017727220146535008,0.015366729380526419,0.046894803548795994,0.009343713673263036
Ackley,Lion,0.2,0.020000000000000004,0.0,0.06170934896636841,0.11580775911986103,0.06170934896636841,0.0,0.005675896991974402,0.005382355830235108,0.005795641631860145
Rastrigin,GD_fixed,0.2,0.2,0.9569377990430623,0.24660912453760792,0.970873786407767,0.012416225749559083,0.025079799361605093,0.03152289657110198,0.02111585566139551,0.0014902798490102013
Rastrigin,Adam,0.2,0.2,0.0,0.6968641114982578,1.0,0.6968641114982578,0.0,0.034074452679103806,0.0,0.034074452679103806
Rastrigin,RMSProp,0.2,0.2,1.0,0.24301336573511542,1.0,0.051965811965811966,0.0,0.03738945166221569,0.0,0.007853651107814892
Rastrigin,AdaGrad,0.2,0.2,0.0,0.6968641114982578,1.0,0.6968641114982578,0.0,0.034074452679103806,0.0,0.03277101159464069
Rastrigin,AdamW,0.2,0.2,0.0,0.7017543859649122,1.0,0.7017543859649122,0.0,0.03455552950178331,0.0,0.033433220238242634
Rastrigin,SGD_Nesterov,0.2,0.2,0.9756097560975611,0.24301336573511542,0.9852216748768474,0.00513034188034188,0.021321961620469176,0.03002113352574294,0.016908212560386437,0.0009337835932105849
Rastrigin,Lion,0.2,0.020000000000000004,0.0,0.10758472296933835,0.7246376811594204,0.10758472296933835,0.0,0.004968198830485125,0.048613848377348556,0.004855983224982992
Styblinski,GD_fixed,0.2,0.2,0.3838771593090211,0.30864197530864196,0.5633802816901409,0.09797101449275362,0.013227513227513227,0.01310160173036426,0.04148417618010514,0.02306682645307597
Styblinski,Adam,0.2,0.2,0.0945179584120983,0.11402508551881414,0.6968641114982578,0.11402508551881414,0.0006700570062165637,0.0017260728845674075,0.034074452679103806,0.001757652297316649
Styblinski,RMSProp,0.2,0.2,1.0,0.6622516556291391,1.0,0.4024144869215292,0.0,0.03176480897301087,0.0,0.010960906101571022
Styblinski,AdaGrad,0.2,0.2,0.05188067444876784,0.07665772326561901,0.6968641114982578,0.07665772326561901,0.0003230050451369232,0.0015429725441924586,0.034074452679103806,0.0014982894724827334
Styblinski,AdamW,0.2,0.2,0.09389671361502347,0.11280315848843768,0.6968641114982578,0.11280315848843768,0.0005730998818312058,0.0016526824307144666,0.034074452679103806,0.0016526824307144666
Styblinski,SGD_Nesterov,0.2,0.2,0.49140049140049136,0.40404040404040403,0.7017543859649122,0.041666666666666664,0.0126547190049775,0.016285584001042297,0.04914246400314509,0.020833333333333336
Styblinski,Lion,0.2,0.020000000000000004,0.010330044935695469,0.012706480304955527,0.10660980810234541,0.012706480304955527,4.43011572119666e-05,0.00018192716062464306,0.004551109437840227,0.0001887164507031495
Levy,GD_fixed,0.2,0.2,0.006820506096761505,0.17889087656529518,0.0,0.07929878048780488,0.0009258146237190678,0.011688687032202327,0.0,0.012627312545365803
Levy,Adam,0.2,0.2,0.042430668841761825,0.3883495145631068,0.0,0.1413586956521739,0.005556162770078591,0.018145820117015904,0.0,0.01935374372879166
Levy,RMSProp,0.2,0.2,1.0,0.24067388688327315,1.0,0.10722513089005235,0.0,0.02137702972715931,0.0,0.028807151427264845
Levy,AdaGrad,0.2,0.2,0.002563445523086779,0.39603960396039606,0.0,0.1390909090909091,0.0003519514176224985,0.017645398080180674,0.0,0.01902871757398611
Levy,AdamW,0.2,0.2,0.04331390507910075,0.38986354775828463,0.0,0.14330578512396697,0.005886853168449946,0.01751446847395674,0.0,0.019312007011393503
Levy,SGD_Nesterov,0.2,0.2,0.07881818181818182,0.303951367781155,0.0,0.13725593667546174,0.011243292410802484,0.017558572857680838,0.0,0.0213929285461427
Levy,Lion,0.2,0.020000000000000004,0.005258263418578793,0.04967709885742673,0.0,0.01771195097037794,0.0006985523739620552,0.002373883552311662,0.0,0.0024140911459885643
