function,optimizer,best_A,best_B,best_C,best_D
Himmelblau,GD_fixed,0.637,0.543,0.943,0.227
Himmelblau,Adam,0.216,0.143,1.0,0.143
Himmelblau,RMSProp,1.0,1.0,1.0,0.451
Himmelblau,AdaGrad,0.21,0.199,1.0,0.199
Himmelblau,AdamW,0.213,0.14,1.0,0.14
Himmelblau,SGD_Nesterov,0.813,0.61,0.962,0.19
Himmelblau,Lion,0.03,0.018,0.493,0.018
Ackley,GD_fixed,0.305,0.254,0.758,0.251
Ackley,Adam,0.0,0.342,1.0,0.333
Ackley,RMSProp,1.0,0.286,1.0,0.286
Ackley,AdaGrad,0.0,0.437,1.0,0.426
Ackley,AdamW,0.001,0.338,1.0,0.329
Ackley,SGD_Nesterov,0.509,0.258,0.855,0.201
Ackley,Lion,0.0,0.155,0.266,0.155
Rastrigin,GD_fixed,0.985,0.313,0.99,0.313
Rastrigin,Adam,0.0,0.697,1.0,0.697
Rastrigin,RMSProp,1.0,0.422,1.0,0.422
Rastrigin,AdaGrad,0.0,0.697,1.0,0.697
Rastrigin,AdamW,0.0,0.702,1.0,0.702
Rastrigin,SGD_Nesterov,0.995,0.3,0.995,0.3
Rastrigin,Lion,0.0,0.251,0.976,0.251
Styblinski,GD_fixed,0.549,0.444,0.749,0.221
Styblinski,Adam,0.208,0.252,1.0,0.252
Styblinski,RMSProp,1.0,1.0,1.0,0.5
Styblinski,AdaGrad,0.2,0.267,1.0,0.267
Styblinski,AdamW,0.207,0.249,1.0,0.249
Styblinski,SGD_Nesterov,0.697,0.528,0.837,0.241
Styblinski,Lion,0.026,0.031,0.249,0.031
Levy,GD_fixed,0.017,0.332,0.0,0.147
Levy,Adam,0.103,0.746,0.0,0.255
Levy,RMSProp,1.0,0.746,1.0,0.255
Levy,AdaGrad,0.013,0.746,0.0,0.255
Levy,AdamW,0.104,0.763,0.0,0.255
Levy,SGD_Nesterov,0.199,0.438,0.0,0.233
Levy,Lion,0.013,0.12,0.0,0.043
