function,pair,rho,n
Himmelblau,A-B,0.893,7
Himmelblau,A-C,0.197,7
Himmelblau,A-D,0.714,7
Himmelblau,B-C,0.197,7
Himmelblau,B-D,0.893,7
Himmelblau,C-D,0.256,7
Ackley,A-B,-0.296,7
Ackley,A-C,0.02,7
Ackley,A-D,-0.334,7
Ackley,B-C,0.906,7
Ackley,B-D,0.964,7
Ackley,C-D,0.867,7
Rastrigin,A-B,-0.378,7
Rastrigin,A-C,-0.076,7
Rastrigin,A-D,-0.378,7
Rastrigin,B-C,0.875,7
Rastrigin,B-D,1.0,7
Rastrigin,C-D,0.875,7
Styblinski,A-B,0.893,7
Styblinski,A-C,0.197,7
Styblinski,A-D,0.357,7
Styblinski,B-C,0.197,7
Styblinski,B-D,0.464,7
Styblinski,C-D,0.906,7
Levy,A-B,0.482,7
Levy,A-C,0.612,7
Levy,A-D,0.473,7
Levy,B-C,0.212,7
Levy,B-D,0.941,7
Levy,C-D,0.338,7
