function,n,rho_AB,rho_BD,abs_rho_AB,one_minus_rho_BD,n_optimizers
Ackley,2,-0.071,0.964,0.071,0.036,7
Ackley,5,-0.071,1.0,0.071,0.0,7
Ackley,10,0.214,1.0,0.214,0.0,7
Ackley,25,0.788,1.0,0.788,0.0,7
Ackley,50,0.867,1.0,0.867,0.0,7
Rastrigin,2,-0.245,1.0,0.245,0.0,7
Rastrigin,5,-0.387,1.0,0.387,0.0,7
Rastrigin,10,-0.5,1.0,0.5,0.0,7
Rastrigin,25,0.212,1.0,0.212,0.0,7
Rastrigin,50,0.212,1.0,0.212,0.0,7
Styblinski,2,0.893,0.464,0.893,0.536,7
Styblinski,5,1.0,0.464,1.0,0.536,7
Styblinski,10,0.964,0.429,0.964,0.571,7
Styblinski,25,0.612,0.429,0.612,0.571,7
Styblinski,50,0.612,0.429,0.612,0.571,7
