k,W,n_items,n_judges,ci_lo,ci_hi,method,B
0.0,0.28,7,4,0.057,0.432,bootstrap,2000
0.588,0.662,7,4,0.17,0.86,bootstrap,2000
1.176,0.523,7,4,0.003,0.827,bootstrap,2000
1.765,0.587,7,4,0.013,0.857,bootstrap,2000
2.353,0.621,7,4,0.04,0.862,bootstrap,2000
2.941,0.612,7,4,0.04,0.893,bootstrap,2000
3.529,0.768,7,4,0.263,0.946,bootstrap,2000
4.118,0.782,7,4,0.271,0.964,bootstrap,2000
4.706,0.765,7,4,0.268,0.946,bootstrap,2000
5.294,0.587,7,4,0.062,0.911,bootstrap,2000
5.882,0.587,7,4,0.08,0.912,bootstrap,2000
6.471,0.587,7,4,0.062,0.911,bootstrap,2000
7.059,0.59,7,4,0.089,0.924,bootstrap,2000
7.647,0.587,7,4,0.08,0.911,bootstrap,2000
8.235,0.44,7,4,0.019,0.804,bootstrap,2000
8.824,0.453,7,4,0.03,0.78,bootstrap,2000
9.412,0.453,7,4,0.027,0.78,bootstrap,2000
10.0,0.452,7,4,0.027,0.786,bootstrap,2000
