function,pair,rho,n
Himmelblau,A-B,0.8928571428571429,7
Himmelblau,A-C,0.19702760155977517,7
Himmelblau,A-D,0.7142857142857144,7
Himmelblau,B-C,0.19702760155977517,7
Himmelblau,B-D,0.8928571428571429,7
Himmelblau,C-D,0.25613588202770776,7
Ackley,A-B,-0.29649972666444047,7
Ackley,A-C,0.020446520502738267,7
Ackley,A-D,-0.3335621924974956,7
Ackley,B-C,0.9063269671749657,7
Ackley,B-D,0.9642857142857145,7
Ackley,C-D,0.8669214468630109,7
Rastrigin,A-B,-0.3777403169315835,7
Rastrigin,A-C,-0.07608695652173912,7
Rastrigin,A-D,-0.3777403169315835,7
Rastrigin,B-C,0.8747670497362986,7
Rastrigin,B-D,1.0,7
Rastrigin,C-D,0.8747670497362986,7
Styblinski,A-B,0.8928571428571429,7
Styblinski,A-C,0.19702760155977517,7
Styblinski,A-D,0.3571428571428572,7
Styblinski,B-C,0.19702760155977517,7
Styblinski,B-D,0.4642857142857144,7
Styblinski,C-D,0.9063269671749657,7
Levy,A-B,0.4818120558297158,7
Levy,A-C,0.6123724356957945,7
Levy,A-D,0.4728662437434605,7
Levy,B-C,0.21182963643408084,7
Levy,B-D,0.9405399431259602,7
Levy,C-D,0.3378319623460881,7
