family,function,rho,n
A,Himmelblau,0.8928571428571429,7
A,Ackley,0.9063269671749657,7
A,Rastrigin,0.9999999999999999,7
A,Styblinski,0.8928571428571429,7
A,Levy,0.9642857142857145,7
B,Himmelblau,1.0,7
B,Ackley,1.0,7
B,Rastrigin,1.0,7
B,Styblinski,1.0,7
B,Levy,1.0,7
C,Himmelblau,0.9999999999999999,7
C,Ackley,0.19702760155977517,7
C,Rastrigin,0.45044261646145073,7
C,Styblinski,0.9405399431259602,7
C,Levy,0.6179143806533246,7
D,Himmelblau,1.0,7
D,Ackley,0.8571428571428573,7
D,Rastrigin,1.0,7
D,Styblinski,1.0,7
D,Levy,0.48617243480439776,7
