function,n,optimizer,best_A,best_B,best_C,best_D
Ackley,2,GD_fixed,0.3656307129798903,0.28328611898017,0.7936507936507936,0.28328611898017
Ackley,2,Adam,0.13287284144427003,0.45454545454545453,1.0,0.4454342984409799
Ackley,2,RMSProp,1.0,0.3048780487804878,1.0,0.3048780487804878
Ackley,2,AdaGrad,0.0153125,0.5333333333333333,1.0,0.5208333333333334
Ackley,2,AdamW,0.12953393295175797,0.449438202247191,1.0,0.44052863436123346
Ackley,2,SGD_Nesterov,0.5571030640668524,0.29112081513828236,0.8695652173913044,0.2531645569620253
Ackley,2,Lion,0.003316447368421052,0.17761989342806395,0.272108843537415,0.17761989342806395
Ackley,5,GD_fixed,0.20964360587002098,0.18148820326678766,0.41841004184100417,0.1801801801801802
Ackley,5,Adam,0.1907118451025057,0.31496062992125984,0.5916006097560975,0.31496062992125984
Ackley,5,RMSProp,1.0,0.22805017103762829,1.0,0.22805017103762829
Ackley,5,AdaGrad,0.06102209944751381,0.3952569169960475,0.675574074074074,0.3952569169960475
Ackley,5,AdamW,0.1856104033970276,0.29282576866764276,0.5934097859327218,0.29282576866764276
Ackley,5,SGD_Nesterov,0.41493775933609955,0.18165304268846502,0.5952380952380952,0.18165304268846502
Ackley,5,Lion,0.005578560371517028,0.13157894736842105,0.08694827586206896,0.13157894736842105
Ackley,10,GD_fixed,0.059808612440191394,0.18867924528301888,0.11855364552459988,0.18867924528301888
Ackley,10,Adam,0.329459234608985,0.42016806722689076,0.3006441717791411,0.42016806722689076
Ackley,10,RMSProp,1.0,0.24038461538461536,0.9302325581395349,0.24038461538461536
Ackley,10,AdaGrad,0.15479876160990713,0.4504504504504504,0.42780334728033476,0.4504504504504504
Ackley,10,AdamW,0.3425692041522491,0.4301075268817204,0.3197716150081566,0.4301075268817204
Ackley,10,SGD_Nesterov,0.3616636528028933,0.17809439002671415,0.3448275862068966,0.17809439002671415
Ackley,10,Lion,0.007819350887936312,0.13986013986013984,0.03585820895522388,0.13986013986013984
Ackley,25,GD_fixed,0.0022685185185185187,0.18264840182648404,0.03471153846153846,0.18264840182648404
Ackley,25,Adam,1.0,0.4618937644341801,0.3273322422258592,0.4618937644341801
Ackley,25,RMSProp,1.0,0.25641025641025644,0.8968609865470852,0.25641025641025644
Ackley,25,AdaGrad,1.0,0.5,0.37881856540084385,0.5
Ackley,25,AdamW,1.0,0.4854368932038835,0.34782608695652173,0.4854368932038835
Ackley,25,SGD_Nesterov,0.19,0.16977928692699493,0.05867972742759795,0.16977928692699493
Ackley,25,Lion,0.028908908908908907,0.14357501794687724,0.0265748031496063,0.14357501794687724
Ackley,50,GD_fixed,0.15174506828528073,0.10116337885685382,0.00140625,0.10116337885685382
Ackley,50,Adam,1.0,0.42194092827004215,0.2275919540229885,0.42194092827004215
Ackley,50,RMSProp,1.0,0.24968789013732834,0.8771929824561404,0.24968789013732834
Ackley,50,AdaGrad,1.0,0.5,0.22837378640776698,0.5
Ackley,50,AdamW,1.0,0.4608294930875576,0.25125628140703515,0.4608294930875576
Ackley,50,SGD_Nesterov,0.3115264797507788,0.15232292460015232,0.018028169014084508,0.15232292460015232
Ackley,50,Lion,0.14503263234227703,0.13531799729364005,0.0062592592592592596,0.13531799729364005
