k,W,n_items,n_judges,ci_lo,ci_hi,method,B
0.0,0.28013392857142855,7,4,0.056919642857142856,0.43191964285714285,bootstrap,2000
0.5882,0.6618303571428571,7,4,0.16964285714285715,0.8604910714285714,bootstrap,2000
1.1765,0.5234375,7,4,0.0033482142857142855,0.8270089285714286,bootstrap,2000
1.7647,0.5870535714285714,7,4,0.013392857142857142,0.8571428571428571,bootstrap,2000
2.3529,0.6205357142857143,7,4,0.04017857142857143,0.8616071428571429,bootstrap,2000
2.9412,0.6116071428571429,7,4,0.04017857142857143,0.8928571428571429,bootstrap,2000
3.5294,0.7678571428571429,7,4,0.26339285714285715,0.9464285714285714,bootstrap,2000
4.1176,0.7823660714285714,7,4,0.27120535714285715,0.9642857142857143,bootstrap,2000
4.7059,0.7645089285714286,7,4,0.26785714285714285,0.9464285714285714,bootstrap,2000
5.2941,0.5870535714285714,7,4,0.0625,0.9107142857142857,bootstrap,2000
5.8824,0.5870535714285714,7,4,0.08035714285714286,0.9118303571428571,bootstrap,2000
6.4706,0.5870535714285714,7,4,0.0625,0.9107142857142857,bootstrap,2000
7.0588,0.5904017857142857,7,4,0.08928571428571429,0.9241071428571429,bootstrap,2000
7.6471,0.5870535714285714,7,4,0.08035714285714286,0.9107142857142857,bootstrap,2000
8.2353,0.43973214285714285,7,4,0.0189453125,0.8035714285714286,bootstrap,2000
8.8235,0.453125,7,4,0.030133928571428572,0.7801339285714286,bootstrap,2000
9.4118,0.453125,7,4,0.026785714285714284,0.7801339285714286,bootstrap,2000
10.0,0.45200892857142855,7,4,0.026785714285714284,0.785965401785713,bootstrap,2000
