k,accepted,grad_norm,lmin_analytic,lmax_analytic,lmin_finite_diff,lmax_finite_diff,analytic_vs_fd_lmin_diff,analytic_vs_fd_lmax_diff
0.0,True,0.0,-2.0,2.0,-2.0,2.0,0.0,0.0
0.5882,True,0.0,-23.307174272325668,23.307174272325668,-23.30717275006731,23.30717275006731,1.522258358477302e-06,1.522258358477302e-06
1.1765,True,0.0,-46.48939879588366,46.48939879588366,-46.48939574266515,46.48939574266515,3.0532185064657824e-06,3.0532185064657824e-06
1.7647,True,0.0,-69.69626539846317,69.69626539846317,-69.69626081640905,69.69626081640905,4.5820541174634855e-06,4.5820541174634855e-06
2.3529,True,0.0,-92.91029741478842,92.91029741478842,-92.91029130436874,92.91029130436874,6.110419676019774e-06,6.110419676019774e-06
2.9412,True,0.0,-116.13114504400137,116.13114504400137,-116.13113740514477,116.13113740514477,7.638856601488442e-06,7.638856601488442e-06
3.5294,True,0.0,-139.34948023574415,139.34948023574415,-139.34947106880477,139.34947106880477,9.166939378246752e-06,9.166939378246752e-06
4.1176,True,0.0,-162.5686352893274,162.5686352893274,-162.56862459435914,162.56862459435914,1.0694968267443983e-05,1.0694968267443983e-05
4.7059,True,0.0,-185.79225042785043,185.79225042785043,-185.79223820462715,185.79223820462715,1.2223223279761442e-05,1.2223223279761442e-05
5.2941,True,0.0,-209.0122596749701,209.0122596749701,-209.01224592377412,209.01224592377412,1.3751195979239128e-05,1.3751195979239128e-05
5.8824,True,0.0,-232.23645578789635,232.23645578789635,-232.23644050848364,232.23644050848364,1.5279412707513984e-05,1.5279412707513984e-05
6.4706,True,0.0,-255.45687818073196,255.45687818073196,-255.4568613733737,255.4568613733737,1.6807358264259165e-05,1.6807358264259165e-05
7.0588,True,0.0,-278.6774310343201,278.6774310343201,-278.6774126990249,278.6774126990249,1.8335295180804678e-05,1.8335295180804678e-05
7.6471,True,0.0,-301.9020320005464,301.9020320005464,-301.90201213706104,301.90201213706104,1.9863485363202926e-05,1.9863485363202926e-05
8.2353,True,0.0,-325.12276407786584,325.12276407786584,-325.12274268645535,325.12274268645535,2.1391410484739026e-05,2.1391410484739026e-05
8.8235,True,0.0,-348.3435592376086,348.3435592376086,-348.3435363182771,348.3435363182771,2.291933151354897e-05,2.291933151354897e-05
9.4118,True,0.0,-371.56835343739965,371.56835343739965,-371.56832898989074,371.56832898989074,2.4447508906177973e-05,2.4447508906177973e-05
10.0,True,0.0,-394.7892420702518,394.7892420702518,-394.78921609482796,394.78921609482796,2.5975423852742097e-05,2.5975423852742097e-05
