function,optimizer,best_A,best_B,best_C,best_D
Himmelblau,GD,0.6369426751592356,0.5434782608695652,0.9433962264150942,0.22734712230215828
Himmelblau,Adam,0.21645021645021645,0.14255167498218105,1.0,0.14255167498218105
Himmelblau,RMSProp,1.0,1.0,1.0,0.4514672686230249
Himmelblau,AdaGrad,0.20986358866736624,0.19880715705765406,1.0,0.19880715705765406
Himmelblau,AdamW,0.21321961620469082,0.13995801259622115,1.0,0.13995801259622115
Himmelblau,SGD_mom,0.6389776357827476,0.5420054200542006,0.9433962264150942,0.20663265306122452
Ackley,GD,0.3053435114503817,0.25412960609911056,0.7575757575757576,0.25094102885821834
Ackley,Adam,0.0,0.3424657534246575,1.0,0.3327787021630616
Ackley,RMSProp,1.0,0.2857142857142857,1.0,0.2857142857142857
Ackley,AdaGrad,0.0,0.4366812227074236,1.0,0.425531914893617
Ackley,AdamW,0.0007407407407407407,0.338409475465313,1.0,0.32948929159802304
Ackley,SGD_mom,0.3590664272890485,0.18592018779342723,0.7547169811320755,0.18132326007326008
Rastrigin,GD,0.9852216748768474,0.30349013657056145,0.9900990099009901,0.30349013657056145
Rastrigin,Adam,0.0,0.7092198581560284,1.0,0.7092198581560284
Rastrigin,RMSProp,1.0,0.42105263157894735,1.0,0.42105263157894735
Rastrigin,AdaGrad,0.0,0.7092198581560284,1.0,0.7092198581560284
Rastrigin,AdamW,0.0,0.7092198581560284,1.0,0.7092198581560284
Rastrigin,SGD_mom,0.9852216748768474,0.29850746268656714,0.9900990099009901,0.2386634844868735
Styblinski,GD,0.5494505494505494,0.4444444444444444,0.7490636704119851,0.22099447513812154
Styblinski,Adam,0.20768431983385252,0.25157232704402516,1.0,0.25157232704402516
Styblinski,RMSProp,1.0,1.0,1.0,0.5
Styblinski,AdaGrad,0.2,0.26702269692923897,1.0,0.26702269692923897
Styblinski,AdamW,0.20682523267838676,0.24906600249066005,1.0,0.24906600249066005
Styblinski,SGD_mom,0.547945205479452,0.44150110375275936,0.7490636704119851,0.2297211155378486
Levy,GD,0.017117472852912142,0.33167495854063017,0.29069767441860467,0.14653521126760563
Levy,Adam,0.103009900990099,0.7462686567164178,0.6097560975609756,0.255
Levy,RMSProp,1.0,0.7462686567164178,1.0,0.255
Levy,AdaGrad,0.013267023718439176,0.7462686567164178,0.6097560975609756,0.255
Levy,AdamW,0.10383233532934132,0.7633587786259541,0.6134969325153374,0.255
Levy,SGD_mom,0.11163090128755365,0.3656307129798903,0.33003300330033003,0.15957055214723925
Beale,GD,0.5847953216374269,0.22992401215805472,0.8968609865470852,0.22805295950155763
Beale,Adam,0.028304557033682426,0.20833333333333334,0.37664783427495296,0.20833333333333334
Beale,RMSProp,1.0,0.2127659574468085,0.3502626970227671,0.2127659574468085
Beale,AdaGrad,0.037376836646499566,0.21231422505307856,0.37243947858473,0.21231422505307856
Beale,AdamW,0.027162841233192993,0.21621621621621623,0.37243947858473,0.21621621621621623
Beale,SGD_mom,0.5865102639296187,0.243576512455516,0.8968609865470852,0.243576512455516
Schwefel,GD,0.04687133817670494,0.03534193320374624,0.05002501250625313,0.03534193320374624
Schwefel,Adam,0.2066115702479339,0.07178750897343862,0.25641025641025644,0.07178750897343862
Schwefel,RMSProp,1.0,0.5649717514124294,1.0,0.5
Schwefel,AdaGrad,0.20020020020020018,0.028885037550548817,0.2577319587628866,0.028885037550548817
Schwefel,AdamW,0.20746887966804978,0.06846970215679561,0.25412960609911056,0.06846970215679561
Schwefel,SGD_mom,0.09229349330872173,0.07293946024799416,0.09694619486185167,0.07293946024799416
