function,pair,rho
Himmelblau,A-B,0.7714285714285715
Himmelblau,A-C,-0.4140393356054126
Himmelblau,A-D,0.7714285714285715
Himmelblau,B-C,-0.4140393356054126
Himmelblau,B-D,1.0
Himmelblau,C-D,-0.41403933560541256
Ackley,A-B,-0.8116794499134278
Ackley,A-C,-0.445896321370523
Ackley,A-D,-0.8116794499134278
Ackley,B-C,0.8451542547285166
Ackley,B-D,1.0
Ackley,C-D,0.8451542547285165
Rastrigin,A-B,-0.7869910029407438
Rastrigin,A-C,-0.44721359549995804
Rastrigin,A-D,-0.7869910029407438
Rastrigin,B-C,0.8798826901281199
Rastrigin,B-D,1.0
Rastrigin,C-D,0.8798826901281199
Styblinski,A-B,0.8285714285714287
Styblinski,A-C,-0.4140393356054126
Styblinski,A-D,-0.08571428571428573
Styblinski,B-C,-0.4140393356054126
Styblinski,B-D,0.08571428571428573
Styblinski,C-D,0.8280786712108251
Levy,A-B,0.15179418517972906
Levy,A-C,0.49280538030458115
Levy,A-D,0.101418510567422
Levy,B-C,0.8316554899054915
Levy,B-D,0.8980265101338745
Levy,C-D,0.8574929257125441
Beale,A-B,0.3714285714285715
Beale,A-C,0.0
Beale,A-D,0.3714285714285715
Beale,B-C,0.5296408977028497
Beale,B-D,1.0
Beale,C-D,0.5296408977028497
Schwefel,A-B,0.48571428571428577
Schwefel,A-C,0.7714285714285715
Schwefel,A-D,0.48571428571428577
Schwefel,B-C,0.2571428571428572
Schwefel,B-D,1.0
Schwefel,C-D,0.2571428571428572
