protocol,function,optimizer,best_A,best_B
independent,Himmelblau,GD,0.47904191616766467,0.43956043956043955
independent,Himmelblau,Adam,0.10243277848911653,0.06890611541774333
independent,Himmelblau,RMSProp,1.0,0.43243243243243246
independent,Himmelblau,AdaGrad,0.06216006216006217,0.04972032318210068
independent,Himmelblau,AdamW,0.10126582278481013,0.06672226855713094
independent,Himmelblau,SGD_mom,0.47904191616766467,0.45454545454545453
independent,Ackley,GD,0.07912957467853611,0.2631578947368421
independent,Ackley,Adam,0.0,0.36363636363636365
independent,Ackley,RMSProp,1.0,0.27586206896551724
independent,Ackley,AdaGrad,0.0,0.43243243243243246
independent,Ackley,AdamW,0.0,0.36529680365296807
independent,Ackley,SGD_mom,0.19370460048426152,0.1762114537444934
independent,Rastrigin,GD,0.9756097560975611,0.3088803088803089
independent,Rastrigin,Adam,0.0,0.7142857142857143
independent,Rastrigin,RMSProp,1.0,0.4166666666666667
independent,Rastrigin,AdaGrad,0.0,0.7142857142857143
independent,Rastrigin,AdamW,0.0,0.7142857142857143
independent,Rastrigin,SGD_mom,0.9756097560975611,0.28776978417266186
independent,Levy,GD,0.007037982764123842,0.1864801864801865
independent,Levy,Adam,0.04392430278884462,0.3980099502487562
independent,Levy,RMSProp,1.0,0.49079754601226994
independent,Levy,AdaGrad,0.0,0.40404040404040403
independent,Levy,AdamW,0.04481707317073171,0.4
independent,Levy,SGD_mom,0.07277227722772277,0.24539877300613497
