protocol,function,optimizer,best_A,best_B
shared,Himmelblau,GD,0.48192771084337344,0.42105263157894735
shared,Himmelblau,Adam,0.10243277848911653,0.06436041834271923
shared,Himmelblau,RMSProp,1.0,0.4371584699453552
shared,Himmelblau,AdaGrad,0.06168080185042406,0.04981320049813201
shared,Himmelblau,AdamW,0.10191082802547771,0.06230529595015576
shared,Himmelblau,SGD_mom,0.47904191616766467,0.4371584699453552
shared,Ackley,GD,0.0622568093385214,0.2359882005899705
shared,Ackley,Adam,0.0,0.3278688524590164
shared,Ackley,RMSProp,1.0,0.2888086642599278
shared,Ackley,AdaGrad,0.0,0.449438202247191
shared,Ackley,AdamW,0.0,0.3292181069958848
shared,Ackley,SGD_mom,0.20100502512562815,0.175054704595186
shared,Rastrigin,GD,0.9638554216867469,0.3125
shared,Rastrigin,Adam,0.0,0.7142857142857143
shared,Rastrigin,RMSProp,1.0,0.4301075268817204
shared,Rastrigin,AdaGrad,0.0,0.7142857142857143
shared,Rastrigin,AdamW,0.0,0.7079646017699115
shared,Rastrigin,SGD_mom,0.9638554216867469,0.29304029304029305
shared,Levy,GD,0.007411944869831547,0.19801980198019803
shared,Levy,Adam,0.0460952380952381,0.3921568627450981
shared,Levy,RMSProp,1.0,0.43243243243243246
shared,Levy,AdaGrad,0.0,0.39603960396039606
shared,Levy,AdamW,0.04699029126213593,0.3921568627450981
shared,Levy,SGD_mom,0.07986798679867987,0.26490066225165565
