function,optimizer,lr,n_A,mean_align_A,frac_B_already,mean_align_A_notB,mean_align_A_andB,final_mean_lmin,final_mean_f,P_A,P_B
Himmelblau,GD,0.01,80,0.9990086141134537,0.7625,0.9992475492238337,0.9989341917020239,50.22781192034335,6.606710081225974e-30,1.0,1.0
Himmelblau,GD,0.1,80,0.9988957967998081,0.9625,0.9978306664502788,0.9989372953848547,1199959965.9995997,2.0003996599640164e+16,1.0,1.0
Himmelblau,GD,0.2,80,0.9796296072322181,0.7375,0.9372949904243051,0.9946978606723231,1199959965.9995997,2.0003996599640164e+16,1.0,1.0
Himmelblau,Adam,0.01,13,0.8793835625953931,0.0,0.8793835625953931,,-17.292242428222426,109.71865012989103,0.1625,0.0
Himmelblau,Adam,0.1,80,0.9614218141969746,0.0,0.9614218141969746,,50.15287871737493,0.0029494228957722625,1.0,1.0
Himmelblau,Adam,0.2,80,0.9597243840676406,0.0,0.9597243840676406,,49.95685441690659,0.00013550088108311406,1.0,1.0
Himmelblau,RMSProp,0.01,80,0.9637251036485264,0.0,0.9637251036485264,,25.636756928893544,24.660163167038327,1.0,0.9
Himmelblau,RMSProp,0.1,80,0.9675217820686596,0.0375,0.9666058687681973,0.9910302234471989,49.9529851201585,0.1937635707709677,1.0,1.0
Himmelblau,RMSProp,0.2,80,0.7305733125001114,0.0375,0.7269967234380045,0.8223724317608528,46.350737579835275,0.729118802740665,1.0,1.0
Himmelblau,AdaGrad,0.1,80,0.9653328318065555,0.0,0.9653328318065555,,20.473957663500727,35.10649245540149,1.0,0.9125
Himmelblau,AdaGrad,0.2,80,0.9769399788125238,0.0,0.9769399788125238,,49.67316125569315,0.026199575342006308,1.0,1.0
Himmelblau,AdamW,0.01,13,0.8767234971680815,0.0,0.8767234971680815,,-17.655262529312672,110.4294498134349,0.1625,0.0
Himmelblau,AdamW,0.1,80,0.9608957181284449,0.0,0.9608957181284449,,49.86391335807345,0.0023755213224802493,1.0,1.0
Himmelblau,AdamW,0.2,80,0.9588403205284408,0.0,0.9588403205284408,,49.67938082130431,0.004685637459484241,1.0,1.0
Himmelblau,SGD_mom,0.01,80,0.9991948803939337,0.8625,0.9990103467006172,0.9992242988088104,50.173511805854424,0.0006597220700327732,1.0,1.0
Himmelblau,SGD_mom,0.1,80,0.9988745603693022,0.9,0.9962017179508686,0.9991715428602392,1199959965.9995997,2.0003996599640164e+16,1.0,1.0
Himmelblau,SGD_mom,0.2,80,0.9899798500836308,0.8125,0.9568551051928824,0.997624021981496,1199959965.9995997,2.0003996599640164e+16,1.0,1.0
Ackley,GD,0.1,49,0.6497539083236251,1.0,,0.6497539083236251,-8.604787113446111,2.896306848323198,0.6125,1.0
Ackley,GD,0.2,80,0.5868335141329746,0.7875,0.7209286813958821,0.5506491039191742,-7.279194900389752,3.8953001318648957,1.0,1.0
Ackley,RMSProp,0.1,35,0.707291353354352,0.22857142857142856,0.7448621252491615,0.5804899982093696,40.71063515213737,1.0462439512734687,0.4375,1.0
Ackley,RMSProp,0.2,80,0.7404046696482529,0.0,0.7404046696482529,,0.25606382937759625,1.7458739229811684,1.0,1.0
Ackley,SGD_mom,0.1,80,0.6227384120794308,0.825,0.5637481260987307,0.635251503045034,-8.987977073438028,14.976732312317125,1.0,1.0
Ackley,SGD_mom,0.2,80,0.7073235152309392,0.575,0.7847352299521066,0.6501061608718155,-14.191640649406475,20.760874098523253,1.0,1.0
Rastrigin,GD,0.1,80,0.6316975542432133,0.25,0.6312292694838659,0.6331024085212555,-117.29881354093348,127.62332293468299,1.0,1.0
Rastrigin,GD,0.2,80,0.6177785141802744,0.3125,0.6352758992356614,0.5792842670584226,-181.81132136444432,251.75738476380374,1.0,1.0
Rastrigin,RMSProp,0.1,79,0.7337896882083743,0.05063291139240506,0.7427228533194791,0.5662928423751632,372.7638791015859,7.11000152534231,0.9875,1.0
Rastrigin,RMSProp,0.2,80,0.7346016362732476,0.0,0.7346016362732476,,305.4933418017318,16.94060095060802,1.0,1.0
Rastrigin,SGD_mom,0.01,75,0.9036682089393758,0.8,0.7734407424928122,0.936225075551017,133.44742621689417,81.53929345030707,0.9375,1.0
Rastrigin,SGD_mom,0.1,80,0.6213621409158605,0.2625,0.6212085235780361,0.6217937324840338,-206.2927853632902,1158.9645992046615,1.0,1.0
Rastrigin,SGD_mom,0.2,80,0.6184369244800907,0.3125,0.6357833997563204,0.5802746788723853,-188.82178861696582,2559.7886474395573,1.0,1.0
Levy,GD,0.2,44,1.0,1.0,,1.0,1.1103584673130207,0.43942270283626306,0.55,1.0
Levy,Adam,0.1,44,0.9999745932427472,1.0,,0.9999745932427472,1.0785784613454024,0.4381752150294126,0.55,1.0
Levy,Adam,0.2,44,0.9998669271569294,1.0,,0.9998669271569294,1.0784646791893437,0.4381707317933762,0.55,1.0
