function,optimizer,SEE_A,CI_lo_A,CI_hi_A,SEE_B,CI_lo_B,CI_hi_B,SEE_C,CI_lo_C,CI_hi_C,SEE_D,CI_lo_D,CI_hi_D
Himmelblau,GD,0.4854368932038835,0.47058823529411764,0.5012846185816298,0.4347826086956522,0.41841004184100417,0.45248868778280543,0.8771929824561404,0.8333333333333334,0.9174311926605504,0.10256410256410257,0.07315794303797468,0.13396486621655407
Himmelblau,Adam,0.1023541453428864,0.10152284263959391,0.10319917440660475,0.06521030322791001,0.06240200949273155,0.06823726173132613,1.0,1.0,1.0,0.06521030322791001,0.062441461130190445,0.06800408024481469
Himmelblau,RMSProp,1.0,1.0,1.0,0.4514672686230249,0.4366812227074236,0.468384074941452,1.0,1.0,1.0,0.4514672686230249,0.4357298474945534,0.4662004662004662
Himmelblau,AdaGrad,0.06188118811881188,0.061576354679802964,0.06218905472636817,0.04962779156327544,0.049407114624505935,0.049838026414153996,1.0,1.0,1.0,0.04962779156327544,0.049407114624505935,0.049838026414153996
Himmelblau,AdamW,0.1015744032503809,0.10080645161290323,0.1023541453428864,0.06339144215530904,0.060587241977037964,0.066512026385097,1.0,1.0,1.0,0.06339144215530904,0.06069710681021004,0.06653470688449997
Himmelblau,SGD_mom,0.4854368932038835,0.4694835680751174,0.5025125628140703,0.4484304932735426,0.4329004329004329,0.46511627906976744,0.8771929824561404,0.8368200836820083,0.9174311926605504,0.10506249999999999,0.07538235294117647,0.13626412076944017
Ackley,GD,0.07642338555598012,0.0698555744319259,0.08431703204047218,0.12845215157353884,0.11389359580875977,0.1457805808329801,0.5952380952380952,0.554016620498615,0.6389776357827476,0.1149425287356322,0.10193550095731273,0.12928666612275974
Ackley,Adam,0.0,0.0,0.0,0.3424657534246575,0.315955766192733,0.37523452157598497,0.7462686567164178,0.7117437722419929,0.7843137254901962,0.3327787021630616,0.30864197530864196,0.3616636528028933
Ackley,RMSProp,1.0,1.0,1.0,0.0954653937947494,0.08676789587852494,0.10559801547523219,1.0,1.0,1.0,0.04679398424444975,0.04145741662079391,0.05307908496423336
Ackley,AdaGrad,0.0,0.0,0.0,0.4366812227074236,0.4132231404958678,0.46511627906976744,0.7462686567164178,0.7092198581560284,0.7843137254901962,0.425531914893617,0.40322580645161293,0.4484304932735426
Ackley,AdamW,0.0,0.0,0.0,0.338409475465313,0.3115264797507788,0.3710575139146568,0.7434944237918216,0.7067137809187279,0.7782101167315175,0.32948929159802304,0.30533187488363434,0.35714285714285715
Ackley,SGD_mom,0.19083969465648853,0.17809042885255874,0.20449897750511248,0.14316392269148173,0.12414649286157667,0.16611640886709028,0.6024096385542169,0.5633802816901409,0.6472491909385114,0.05862145390070921,0.03888376641260723,0.09312516463713344
