family,function,rho
A,Himmelblau,0.823529411764706
A,Ackley,0.9411239481143202
A,Rastrigin,1.0
A,Styblinski,0.8116794499134278
A,Levy,0.8285714285714287
A,Beale,0.9856107606091624
A,Schwefel,0.7714285714285715
B,Himmelblau,1.0
B,Ackley,1.0
B,Rastrigin,1.0
B,Styblinski,1.0
B,Levy,1.0
B,Beale,1.0
B,Schwefel,1.0
C,Himmelblau,1.0
C,Ackley,-0.4115966043420212
C,Rastrigin,1.0
C,Styblinski,0.8980265101338745
C,Levy,0.8574929257125441
C,Beale,0.8060599359358184
C,Schwefel,0.9411239481143202
D,Himmelblau,1.0
D,Ackley,0.7714285714285715
D,Rastrigin,1.0
D,Styblinski,1.0
D,Levy,0.27721849663516385
D,Beale,1.0
D,Schwefel,1.0
