function,dim,optimizer,best_A,best_B
Rastrigin,10,GD,1.0,0.1838235294117647
Rastrigin,10,Adam,0.09496124031007752,0.7142857142857143
Rastrigin,10,RMSProp,1.0,0.425531914893617
Rastrigin,10,AdaGrad,0.015625,0.7142857142857143
Rastrigin,10,AdamW,0.14459893048128342,0.7194244604316548
Rastrigin,10,SGD_mom,1.0,0.2631578947368421
Rastrigin,50,GD,1.0,0.06877579092159561
Rastrigin,50,Adam,1.0,0.5
Rastrigin,50,RMSProp,1.0,0.3333333333333333
Rastrigin,50,AdaGrad,1.0,0.5
Rastrigin,50,AdamW,1.0,0.5
Rastrigin,50,SGD_mom,1.0,0.07830853563038372
Ackley,10,GD,0.08445945945945946,0.20576131687242796
Ackley,10,Adam,0.37593984962406013,0.42372881355932207
Ackley,10,RMSProp,1.0,0.24875621890547267
Ackley,10,AdaGrad,0.1969090909090909,0.45454545454545453
Ackley,10,AdamW,0.38910505836575876,0.4273504273504274
Ackley,10,SGD_mom,0.2469135802469136,0.10683760683760685
Ackley,50,GD,0.14814814814814814,0.0949667616334283
Ackley,50,Adam,1.0,0.36900369003690037
Ackley,50,RMSProp,1.0,0.22075055187637968
Ackley,50,AdaGrad,1.0,0.44052863436123346
Ackley,50,AdamW,1.0,0.3787878787878788
Ackley,50,SGD_mom,0.23923444976076558,0.04830917874396135
